Company,Award,Email,Phone,Address
BiLab,Seoul Innovation QuickFire Challenge: Robotics & Digital Surgery,info@bilabhealthcare.com,.+82-70-4865-0720,"68 Pangyo-ro 255beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do 13486, Korea"
BioFabrics,The LabCoat of the Future,jimjc@mit.edu,617-324-6607,"E25-337, 45 Carleton Street
Cambridge, MA 02139 (MIT)"
Biorchestra,NYC Innovation QuickFire Challenge on Neuroscience,info@biorchestra.com,None,"#615 ~ 619, Unit B, 17, Techno 4-ro, Yuseong-gu, Daejeon, Republic of Korea 34013; 1 Kendall square, Building 200, Suite 2-103, Cambridge, MA, 02139"
biotx.ai,Janssen Digital Solutions QuickFire Challenge,info@biotx.ai,1 512-919-9204,"Am Mühlenberg 11, 14476 Potsdam, Germany"
Bloomlife,First 1000 Days QuickFire Challenge,hello@bloomlife.com,.+1 234 5678 910,San Fransisco
Boston Children's Hospital,NAM Healthy Longevity QuickFire Challenge,None,617-355-6000,"300 Longwood Avenue
Boston, MA 02115 USA"
Boston University School of Medicine,Improving Detection of AL Amyloidosis (IDEA),None,None,"Boston University Chobanian & Avedisian School of Medicine, 72 East Concord St., Boston, MA 02118"
Breegi Scientific,Johnson & Johnson Nurses Innovate Quickfire Challenge in Maternal & Newborn Health,info@breegiscientific.com,(781) 258-5297,"730 Commonwealth Ave, Brookline, MA 02446"
Byteflies,NAM Healthy Longevity QuickFire Challenge,support@byteflies.com,.+1 (401) 326-4146,"530 7th Avenue, Suite 902, New York, NY 10018"
C3: Community Concierge Care,Johnson & Johnson Nurses Innovate QuickFire Challenge: Improving Access to Care,info@c3cares.com,(202) 888-6440,Washington DC
CallMidwife.com,Next-Gen Baby Box QuickFire Challenge,liina@callmidwife.com,12252,"Pardi 12, Tallinn 11311"
Camden Coalition of Healthcare Providers,Decoding Disparities QuickFire Challenge,info@camdenhealth.org,856-365-9510,"800 Cooper St. 7th Floor, Camden, NJ 08102"
"CellPrint Biotechnology, LLC",Improving Detection of AL Amyloidosis (IDEA),info@cellprintbiotechnology.com,None,"11000 Cedar Avenue, Suite 265, Cleveland, OH 44106"
CertaDose,Advancing the Safe Use of Healthcare Products QuickFire Challenge,info@certadose.com,1-844-477-8607,"2590 Welton Street, Suite 200, Denver, Colorado 80205"
Chestnut Pharmaceuticals,JLABS @ Toronto QuickFire Challenge,"Per BioPharmGuy: ""Chestnut Pharmaceuticals is defunct. Gone pre Jun 2019.""",,
Chimera Bioengineering,JLABS @ SSF QuickFire Challenge,None,None,"329 Oyster Point Boulevard 3rd Floor, South San Francisco, California 94080"
Chip Diagnostics,JPOD @ Philadelphia QuickFire Challenge,None,None,"3401 Grays Ferry Ave , Philadelphia, Pennsylvania"
Cincinnati Children’s Hospital,Johnson & Johnson Nurses Innovate QuickFire Challenge,None,513-636-4200,"3333 BURNET AVENUE, CINCINNATI, OHIO 45229-3026"
City of Hope,Improving Detection of AL Amyloidosis (IDEA),vbenavides@coh.org,877-503-0104,"1500 East Duarte Road, Duarte, CA 91010"
